,gamma_2.5,gamma_2.5,gamma_3.1,gamma_3.1,gamma_3.5,gamma_3.5,gamma_4,gamma_4,ER_1.5,ER_1.5,ER_2,ER_2,ER_6,ER_6
,Markovian,Non-Markovian,Markovian,Non-Markovian,Markovian,Non-Markovian,Markovian,Non-Markovian,Markovian,Non-Markovian,Markovian,Non-Markovian,Markovian,Non-Markovian
2017-07-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-29,5,5,5,5,5,5,5,5,5,5,5,5,6,5
2017-07-30,5,5,5,5,5,5,5,5,5,5,5,5,8,5
2017-07-31,5,5,5,5,5,5,5,5,5,5,5,5,9,5
2017-08-01,5,5,5,5,5,5,5,5,5,5,5,5,10,5
2017-08-02,5,5,5,5,5,5,5,5,5,5,5,5,11,5
2017-08-03,5,5,5,5,5,5,5,5,5,5,5,5,14,5
2017-08-04,5,5,5,5,5,5,5,5,5,5,5,5,20,5
2017-08-05,5,5,5,5,5,5,5,5,5,5,5,5,25,5
2017-08-06,5,5,6,5,5,5,5,5,5,5,5,5,29,6
2017-08-07,5,5,6,5,5,5,5,5,5,5,5,5,34,6
2017-08-08,5,5,6,5,12,5,6,5,5,5,5,5,41,6
2017-08-09,5,5,6,6,17,5,6,5,6,5,6,7,50,6
2017-08-10,5,5,6,6,22,5,6,5,6,5,6,7,56,6
2017-08-11,5,5,6,6,26,5,6,5,6,5,6,7,61,6
2017-08-12,5,5,6,6,29,5,6,5,6,5,6,7,69,7
2017-08-13,5,5,6,6,34,5,6,5,6,6,6,7,74,7
2017-08-14,5,5,6,6,41,5,7,5,6,6,7,7,79,7
2017-08-15,5,5,6,7,52,5,7,5,6,6,7,7,87,7
2017-08-16,5,5,6,7,57,5,7,5,6,6,7,7,93,8
2017-08-17,5,5,6,7,63,5,7,5,6,6,7,7,98,8
2017-08-18,5,6,6,7,66,5,7,5,6,6,9,8,107,9
2017-08-19,5,6,6,8,73,5,7,5,6,6,9,8,116,10
2017-08-20,5,6,6,8,79,5,7,5,7,6,9,8,132,10
2017-08-21,5,6,6,8,86,5,7,6,7,6,9,8,151,11
