,gamma_2.5,gamma_2.5,gamma_2.5,gamma_3,gamma_3,gamma_3,gamma_4,gamma_4,gamma_4,ER_2.5,ER_2.5,ER_2.5,ER_5,ER_5,ER_5,ER_10,ER_10,ER_10
,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution
2018-12-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-05,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,5,5,25
2018-12-06,5,5,5,5,5,5,5,5,5,5,5,5,5,5,8,5,5,318
2018-12-07,5,5,5,5,5,5,5,5,5,5,5,5,5,5,11,5,5,905
2018-12-08,5,5,57,5,5,5,5,5,5,5,5,5,5,5,23,5,5,989
2018-12-09,5,5,332,5,5,15,5,5,5,5,5,6,5,5,52,5,5,1000
2018-12-10,5,5,412,5,5,57,5,5,5,5,5,8,5,5,125,5,5,1000
2018-12-11,5,5,473,5,5,119,5,5,5,5,5,10,5,6,255,5,6,1000
2018-12-12,5,5,510,5,5,179,5,6,5,5,5,10,5,6,424,5,6,1000
2018-12-13,5,5,536,5,5,212,5,6,5,5,5,11,5,7,620,5,7,1000
2018-12-14,5,5,563,5,6,240,5,6,5,5,6,12,6,7,761,5,7,1000
2018-12-15,5,5,588,5,6,282,5,6,5,5,6,12,6,7,842,5,8,1000
2018-12-16,5,5,609,5,6,317,5,6,5,5,6,14,6,8,893,5,10,1000
2018-12-17,5,5,622,5,6,345,5,6,5,5,6,16,6,9,927,5,14,1000
2018-12-18,5,6,636,5,6,374,5,6,5,5,6,18,6,9,947,5,18,1000
2018-12-19,5,6,647,5,7,394,5,6,5,6,7,28,7,10,956,5,21,1000
2018-12-20,5,6,658,5,8,419,5,6,5,6,7,40,7,10,961,5,25,1000
2018-12-21,5,7,669,5,9,442,5,6,5,6,7,50,7,10,966,5,34,1000
2018-12-22,5,7,677,5,9,458,6,6,5,6,9,60,7,12,970,5,43,1000
2018-12-23,6,7,689,5,12,471,6,7,5,6,9,70,7,15,972,7,60,1000
2018-12-24,6,8,697,5,12,485,6,7,5,7,9,80,7,16,975,8,77,1000
2018-12-25,6,8,705,5,13,496,6,7,5,7,10,100,8,16,978,8,96,1000
2018-12-26,6,9,710,5,15,507,6,7,5,8,12,127,8,18,981,8,118,1000
2018-12-27,7,11,719,5,21,512,6,7,6,9,12,152,11,22,982,13,156,1000
2018-12-28,7,11,723,5,23,523,6,7,6,10,13,174,11,27,982,15,204,1000
2018-12-29,7,12,726,5,25,540,7,7,6,11,14,214,12,32,982,16,263,1000
2018-12-30,8,14,728,5,28,549,9,7,6,11,14,246,12,35,983,19,336,1000
2018-12-31,8,19,728,6,36,553,10,7,6,11,16,281,15,38,983,21,415,1000
2019-01-01,10,27,734,6,41,562,10,7,6,12,17,317,16,43,983,24,520,1000
2019-01-02,11,31,738,6,48,567,10,7,6,12,17,353,17,49,984,27,603,1000
2019-01-03,15,38,741,6,52,571,10,7,6,12,19,390,19,60,986,29,692,1000
2019-01-04,17,50,741,6,65,575,10,8,6,15,21,436,19,68,986,32,774,1000
2019-01-05,17,64,745,7,74,582,10,9,6,16,22,478,21,80,987,35,861,1000
2019-01-06,17,90,747,7,83,589,11,9,6,17,23,521,23,88,987,36,909,1000
2019-01-07,17,132,751,7,94,593,11,9,6,20,26,553,25,101,987,41,949,1000
2019-01-08,19,160,752,7,105,595,12,9,6,20,28,591,26,122,988,42,969,1000
2019-01-09,19,205,753,7,113,601,12,9,6,21,29,621,30,145,988,47,986,1000
2019-01-10,19,251,754,7,124,603,13,11,6,23,30,646,36,163,989,52,990,1000
2019-01-11,19,292,755,7,138,605,13,11,6,23,30,682,41,186,989,67,996,1000
2019-01-12,21,332,757,7,151,609,13,11,6,23,32,698,45,209,989,79,999,1000
2019-01-13,24,376,758,7,162,610,14,13,6,23,37,719,47,225,990,103,1000,1000
2019-01-14,25,414,759,7,182,615,14,13,6,24,40,740,51,266,991,131,1000,1000
2019-01-15,28,445,759,7,202,616,17,13,6,25,47,754,58,315,991,165,1000,1000
2019-01-16,30,471,760,7,214,619,19,13,6,26,51,776,66,357,991,198,1000,1000
2019-01-17,39,488,762,8,231,625,19,13,6,27,60,784,72,398,991,230,1000,1000
2019-01-18,49,507,762,8,257,630,19,13,6,27,65,799,80,436,991,266,1000,1000
2019-01-19,64,531,762,8,273,631,19,15,6,27,71,812,89,481,991,311,1000,1000
2019-01-20,82,551,763,8,291,636,19,15,6,28,73,821,97,529,991,355,1000,1000
2019-01-21,98,571,763,8,302,639,20,17,6,33,81,833,104,580,991,400,1000,1000
2019-01-22,139,590,764,9,315,643,21,17,6,35,86,842,114,637,991,452,1000,1000
