,gamma_2.5,gamma_2.5,gamma_2.5,gamma_3,gamma_3,gamma_3,gamma_4,gamma_4,gamma_4,ER_2.5,ER_2.5,ER_2.5,ER_5,ER_5,ER_5,ER_10,ER_10,ER_10
,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution,Narrow waiting time distribution,Intermediate distribution,Broad waiting time distribution
2018-12-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-12-04,5,5,5,5,5,5,5,5,5,5,5,10,5,5,7,5,5,7
2018-12-05,5,5,5,5,5,5,5,5,5,5,5,14,5,5,9,5,5,13
2018-12-06,5,5,5,5,5,6,5,5,5,5,5,17,5,6,14,5,5,214
2018-12-07,5,5,5,5,5,6,5,5,5,5,5,19,5,6,24,5,5,871
2018-12-08,5,5,5,5,5,6,5,5,5,5,5,24,5,6,53,5,5,987
2018-12-09,5,5,64,5,5,7,5,5,6,5,6,29,5,6,98,5,5,997
2018-12-10,5,5,364,5,5,7,5,6,7,5,6,38,5,6,200,5,6,998
2018-12-11,5,5,469,5,5,7,5,6,7,5,6,49,5,6,363,5,7,1000
2018-12-12,5,5,524,5,5,7,5,6,7,5,7,66,5,6,523,5,8,1000
2018-12-13,5,5,578,5,5,7,5,7,7,5,7,90,5,7,682,5,10,1000
2018-12-14,5,5,609,5,5,7,5,7,7,5,7,120,5,7,799,5,11,1000
2018-12-15,5,5,635,5,5,8,5,8,7,5,7,148,5,7,866,5,12,1000
2018-12-16,5,6,653,5,5,8,5,8,7,5,7,180,5,8,906,5,15,1000
2018-12-17,5,7,669,5,5,9,5,8,7,5,7,222,5,9,935,5,17,1000
2018-12-18,5,7,672,5,5,14,5,8,7,5,8,251,5,10,950,5,24,1000
2018-12-19,5,7,684,5,5,22,5,8,8,5,8,289,5,12,957,5,27,1000
2018-12-20,5,7,697,5,5,38,5,8,9,5,8,330,5,14,963,6,32,1000
2018-12-21,5,8,707,6,5,85,5,8,9,5,8,364,5,15,970,7,47,1000
2018-12-22,6,9,719,6,5,135,5,8,9,5,9,415,5,16,977,8,63,1000
2018-12-23,6,9,726,6,5,189,5,8,9,5,9,451,5,17,979,8,76,1000
2018-12-24,6,10,729,6,5,228,5,8,9,5,10,489,6,21,980,8,97,1000
